S-12D Google 1 52.7397260274 S:33, I:1, D:43
S-12D Google 2 40.5063291139 S:18, I:0, D:14
S-12D Google 3 57.1428571429 S:28, I:0, D:20
S-12D Google 4 42.2857142857 S:40, I:0, D:34
S-12D Google 5 54.7945205479 S:39, I:0, D:41
S-18B Kaldi 0 26.3157894737 S:33, I:25, D:12
S-18B Kaldi 1 18.2648401826 S:16, I:14, D:10
S-18B Kaldi 2 22.1556886228 S:24, I:10, D:3
S-18B Kaldi 3 21.8487394958 S:28, I:14, D:10
S-18B Kaldi 4 23.5074626866 S:28, I:13, D:22
S-18B Kaldi 5 15.0 S:21, I:10, D:11
S-18B Kaldi 6 16.0714285714 S:5, I:5, D:8
S-18B Kaldi 7 19.2708333333 S:17, I:10, D:10
S-18B Kaldi 8 30.7692307692 S:8, I:0, D:4
S-18B Kaldi 9 77.7777777778 S:4, I:3, D:0
S-18B Kaldi 10 38.4615384615 S:9, I:14, D:2
S-18B Kaldi 11 27.6315789474 S:19, I:15, D:8
S-18B Google 0 34.2105263158 S:43, I:0, D:48
S-18B Google 1 30.5936073059 S:26, I:2, D:39
S-18B Google 2 37.7245508982 S:31, I:3, D:29
S-18B Google 3 37.3949579832 S:44, I:2, D:43
S-18B Google 4 29.1044776119 S:30, I:3, D:45
S-18B Google 5 29.2857142857 S:35, I:2, D:45
S-18B Google 6 26.7857142857 S:16, I:1, D:13
S-18B Google 7 29.6875 S:36, I:5, D:16
S-18B Google 8 43.5897435897 S:8, I:0, D:9
S-18B Google 9 100.0 S:8, I:1, D:0
S-18B Google 10 23.0769230769 S:6, I:0, D:9
S-18B Google 11 34.2105263158 S:32, I:1, D:19
S-26B Kaldi 0 23.1707317073 S:13, I:2, D:4
S-26B Kaldi 1 25.9414225941 S:42, I:7, D:13
S-26B Kaldi 2 25.0 S:43, I:10, D:15
S-26B Kaldi 3 34.8148148148 S:31, I:5, D:11
S-26B Kaldi 4 20.350877193 S:36, I:1, D:21
S-26B Kaldi 5 39.9484536082 S:93, I:7, D:55
S-26B Kaldi 6 25.2873563218 S:29, I:2, D:13
S-26B Kaldi 7 27.8350515464 S:22, I:3, D:2
S-26B Kaldi 8 23.2142857143 S:12, I:4, D:10
S-26B Kaldi 9 39.2857142857 S:10, I:0, D:1
S-26B Kaldi 10 40.9090909091 S:24, I:4, D:8
S-26B Kaldi 11 28.5714285714 S:1, I:0, D:1
S-26B Google 0 36.5853658537 S:13, I:0, D:17
S-26B Google 1 35.9832635983 S:37, I:0, D:49
S-26B Google 2 39.7058823529 S:62, I:4, D:42
S-26B Google 3 47.4074074074 S:34, I:1, D:29
S-26B Google 4 38.9473684211 S:58, I:4, D:49
S-26B Google 5 51.2886597938 S:118, I:2, D:79
S-26B Google 6 31.6091954023 S:20, I:0, D:35
S-26B Google 7 28.8659793814 S:15, I:0, D:13
S-26B Google 8 32.1428571429 S:19, I:3, D:14
S-26B Google 9 39.2857142857 S:8, I:0, D:3
S-26B Google 10 59.0909090909 S:33, I:3, D:16
S-26B Google 11 57.1428571429 S:0, I:0, D:4
S-30B Kaldi 0 25.7425742574 S:35, I:4, D:13
S-30B Kaldi 1 23.9130434783 S:21, I:7, D:5
S-30B Kaldi 2 14.3859649123 S:25, I:4, D:12
S-30B Kaldi 3 16.5957446809 S:23, I:4, D:12
S-30B Kaldi 4 21.9565217391 S:61, I:4, D:36
S-30B Kaldi 5 17.9540709812 S:54, I:2, D:30
S-30B Kaldi 6 18.8679245283 S:6, I:0, D:4
S-30B Kaldi 7 17.8082191781 S:10, I:1, D:2
S-30B Kaldi 8 18.5185185185 S:2, I:1, D:2
S-30B Kaldi 9 18.0 S:7, I:0, D:2
S-30B Kaldi 10 20.8333333333 S:4, I:0, D:1
S-30B Kaldi 11 34.6153846154 S:9, I:3, D:6
S-30B Google 0 38.1188118812 S:37, I:1, D:39
S-30B Google 1 34.0579710145 S:13, I:2, D:32
S-30B Google 2 21.7543859649 S:23, I:1, D:38
S-30B Google 3 23.829787234 S:27, I:1, D:28
S-30B Google 4 27.8260869565 S:52, I:1, D:75
S-30B Google 5 27.139874739 S:42, I:5, D:83
S-30B Google 6 20.7547169811 S:1, I:0, D:10
S-30B Google 7 28.7671232877 S:11, I:0, D:10
S-30B Google 8 29.6296296296 S:1, I:0, D:7
S-30B Google 9 50.0 S:6, I:0, D:19
S-30B Google 10 58.3333333333 S:5, I:0, D:9
S-30B Google 11 42.3076923077 S:5, I:1, D:16
S-2B Kaldi 0 44.0860215054 S:26, I:6, D:9
S-2B Kaldi 1 52.2123893805 S:33, I:5, D:21
S-2B Kaldi 2 45.9915611814 S:143, I:11, D:64
S-2B Kaldi 3 32.9411764706 S:38, I:0, D:18
S-2B Kaldi 4 39.1304347826 S:90, I:8, D:37
S-2B Kaldi 5 33.9826839827 S:104, I:2, D:51
S-2B Google 0 53.7634408602 S:15, I:0, D:35
S-2B Google 1 61.0619469027 S:26, I:0, D:43
S-2B Google 2 58.4388185654 S:148, I:6, D:123
S-2B Google 3 47.6470588235 S:36, I:0, D:45
S-2B Google 4 49.2753623188 S:85, I:2, D:83
S-2B Google 5 53.6796536797 S:103, I:3, D:142
S-17A Kaldi 0 20.1680672269 S:68, I:8, D:20
S-17A Kaldi 1 14.7313691508 S:62, I:4, D:19
S-17A Kaldi 2 10.1910828025 S:23, I:3, D:6
S-17A Kaldi 3 17.0247933884 S:74, I:12, D:17
S-17A Kaldi 4 13.8582677165 S:59, I:4, D:25
S-17A Kaldi 5 15.3605015674 S:30, I:6, D:13
S-17A Kaldi 6 19.4552529183 S:39, I:7, D:4
S-17A Kaldi 7 16.3599182004 S:50, I:10, D:20
S-17A Kaldi 8 12.7192982456 S:21, I:3, D:5
S-17A Kaldi 9 14.6981627297 S:38, I:4, D:14
S-17A Kaldi 10 10.2611940299 S:37, I:5, D:13
S-17A Kaldi 11 16.6666666667 S:10, I:1, D:3
S-17A Google 0 33.1932773109 S:78, I:2, D:78
S-17A Google 1 25.6499133449 S:79, I:3, D:66
S-17A Google 2 21.3375796178 S:27, I:2, D:38
S-17A Google 3 30.0826446281 S:108, I:6, D:68
S-17A Google 4 28.9763779528 S:92, I:3, D:89
S-17A Google 5 29.4670846395 S:41, I:1, D:52
S-17A Google 6 36.9649805447 S:60, I:6, D:29
S-17A Google 7 33.7423312883 S:107, I:6, D:52
S-17A Google 8 29.3859649123 S:31, I:5, D:31
S-17A Google 9 24.9343832021 S:50, I:4, D:41
S-17A Google 10 18.2835820896 S:52, I:7, D:39
S-17A Google 11 19.0476190476 S:10, I:0, D:6
S-15C Kaldi 0 20.0 S:32, I:10, D:5
S-15C Kaldi 1 18.359375 S:29, I:9, D:9
S-15C Kaldi 2 19.0954773869 S:19, I:9, D:10
S-15C Kaldi 3 16.5137614679 S:24, I:5, D:7
S-15C Kaldi 4 12.6948775056 S:38, I:10, D:9
S-15C Kaldi 5 16.5191740413 S:34, I:6, D:16
S-15C Kaldi 6 72.7272727273 S:5, I:8, D:3
S-15C Kaldi 7 33.3333333333 S:9, I:21, D:3
S-15C Kaldi 8 17.5257731959 S:23, I:18, D:10
S-15C Google 0 31.914893617 S:41, I:2, D:32
S-15C Google 1 25.78125 S:32, I:3, D:31
S-15C Google 2 30.6532663317 S:35, I:5, D:21
S-15C Google 3 26.1467889908 S:26, I:4, D:27
